subject,RT,minnms,baselinenms,minretinalslip,baselineretinalslip,immobduration,immobmsamplitude,lastmstime,lastmsamplitude,contrast,eccentricity,mspresent,earlymspresent,latemspresent,blinkpresent,nblinks,session,trial
3,14.05,0,5,NaN,19.5179282868526,2.682,0.383440324418165,2.682,0.383440324418165,1,2,1,0,1,0,0,3,13
3,9.127,0,2,NaN,23.441717791411,8.646,0.210409712531968,8.646,0.210409712531968,1,2,1,1,0,0,0,3,14
3,5.459,0,0,NaN,21.1222222222222,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,15
3,6.139,0,3,NaN,21.3979591836735,2.849,0.0715859893208921,2.849,0.0715859893208921,1,2,1,0,1,0,0,3,16
3,7.424,1.42857142857143,2,NaN,22.568,0.771,0.551055423047146,0.771,0.551055423047146,1,2,1,0,1,0,0,3,20
3,8.041,0,1,NaN,23.6086956521739,2.494,0.586463976101832,2.494,0.586463976101832,1,2,1,0,1,0,0,3,21
3,6.643,0,2,NaN,22.2592592592593,3.095,0.340590602253171,3.095,0.340590602253171,1,2,1,0,1,0,0,3,22
3,10.49,0,3,NaN,24.5245901639344,1.14,0.269369901300129,1.14,0.269369901300129,1,2,1,0,1,0,0,3,23
3,5.039,0,2,NaN,25.4683544303797,3.004,0.287004620251991,3.004,0.287004620251991,1,2,1,1,1,0,0,3,24
3,6.093,0,3,NaN,23.1052631578947,2.124,0.248455242724739,2.124,0.248455242724739,1,2,1,0,1,0,0,3,25
3,7.34,1.42857142857143,6,NaN,23.5217391304348,0.804,0.138741601969225,0.804,0.138741601969225,1,2,1,0,1,0,0,3,26
3,8.794,0,5,NaN,22.1379310344828,4.012,0.28141083166164,4.012,0.28141083166164,1,2,1,0,1,0,0,3,28
3,8.893,1.42857142857143,9,NaN,23.0559440559441,0.603,0.316330779018125,0.603,0.316330779018125,1,2,1,1,1,0,0,3,29
3,8.739,0,1,NaN,22.483660130719,5.551,0.251084572185264,5.551,0.251084572185264,1,2,1,0,1,0,0,3,31
3,12.922,0,3,NaN,18.206008583691,1.405,0.543755978994587,1.405,0.543755978994587,1,2,1,0,1,0,0,3,32
3,6.255,0,3,NaN,23.23,3.822,0.352793099658721,3.822,0.352793099658721,1,2,1,0,1,0,0,3,33
3,7.687,0,5,NaN,22.1984126984127,4.115,0.0792815331304816,4.115,0.0792815331304816,1,2,1,0,1,0,0,3,35
3,13.82,0,6,NaN,20.8319672131148,1.057,0.814023845112532,1.057,0.814023845112532,1,2,1,0,1,0,0,3,36
3,8.189,0,2,NaN,23.0642857142857,2.733,0.495599302095946,2.733,0.495599302095946,1,2,1,0,1,0,0,3,38
3,7.992,0,1,NaN,21.65625,1.721,0.126540163614877,1.721,0.126540163614877,1,2,1,0,1,1,1,3,39
3,9.609,2.85714285714286,8,NaN,21.993670886076,0.636,0.37894914626322,0.636,0.37894914626322,1,2,1,0,1,0,0,3,40
3,7.207,0,4,NaN,21.8620689655172,2.525,0.246453765739168,2.525,0.246453765739168,1,2,1,0,1,0,0,3,42
3,9.677,2.85714285714286,11,NaN,20.8026315789474,NaN,NaN,0.211,0.154856981097573,1,2,1,0,1,0,0,3,43
3,5.676,0,2,NaN,18.8,1.206,0.317399321497541,1.206,0.317399321497541,1,2,1,0,1,0,0,3,44
3,8.209,0,3,NaN,20.273381294964,2.107,0.245460974850691,2.107,0.245460974850691,1,2,1,0,1,0,0,3,45
3,6.172,0,1,NaN,20.7596153846154,6,0.18042073639771,6,0.18042073639771,1,2,1,1,0,0,0,3,46
3,7.842,0,8,NaN,20.3252032520325,1.198,0.173647637263542,1.198,0.173647637263542,1,2,1,1,1,0,0,3,47
3,12.588,0,5,NaN,18.6339285714286,2.398,0.205629251695242,2.398,0.205629251695242,1,2,1,0,1,0,0,3,48
4,7.391,1.42857142857143,8,NaN,22.198275862069,0.804,0.0771401181307327,0.804,0.0771401181307327,1,2,1,1,1,0,0,3,9
4,18.022,0,15,NaN,22.0958466453674,1.316,0.0623690756588629,1.316,0.0623690756588629,1,2,1,0,1,0,0,3,12
4,5.975,0,6,NaN,21.9340659340659,NaN,NaN,0.285,0.0635037805499804,1,2,1,1,1,0,0,3,14
4,14.902,0,11,NaN,22.8410852713178,1.373,0.060353584630926,1.373,0.060353584630926,1,2,1,0,1,0,0,3,15
4,5.254,1.42857142857143,5,NaN,21.0649350649351,0.656,0.162025489599717,0.656,0.162025489599717,1,2,1,0,1,0,0,3,16
4,8.107,0,5,NaN,22.362962962963,1.038,0.097048073096399,1.038,0.097048073096399,1,2,1,1,1,0,0,3,17
4,10.574,1.42857142857143,9,NaN,21.5862068965517,0.461,0.149002116992509,0.461,0.149002116992509,1,2,1,0,1,0,0,3,19
4,7.322,0,5,NaN,21.7008547008547,1.46,0.128924767899224,1.46,0.128924767899224,1,2,1,0,1,0,0,3,21
4,7.289,0,4,NaN,20.95,3.666,0.153917935426106,3.666,0.153917935426106,1,2,1,1,1,0,0,3,22
4,14.657,1.42857142857143,13,NaN,22.0941176470588,0.59,0.0990197390830675,0.59,0.0990197390830675,1,2,1,0,1,0,0,3,23
4,5.373,0,5,NaN,21.8571428571429,2.059,0.238879455111003,2.059,0.238879455111003,1,2,1,0,1,0,0,3,24
4,4.509,1.42857142857143,5,NaN,22.0967741935484,0.719,0.121418572294917,0.719,0.121418572294917,1,2,1,0,1,0,0,3,25
4,8.657,0,7,NaN,22.2042253521127,2.247,0.0722446044769824,2.247,0.0722446044769824,1,2,1,1,1,0,0,3,26
4,5.744,2.85714285714286,6,NaN,21.5348837209302,NaN,NaN,0.289,0.137062442964569,1,2,1,0,1,0,0,3,29
4,7.692,1.42857142857143,7,NaN,21.2377049180328,NaN,NaN,0.256,0.117947572873279,1,2,1,0,1,0,0,3,30
4,7.074,1.42857142857143,9,NaN,21.712962962963,NaN,NaN,0.3,0.165645117328063,1,2,1,0,1,0,0,3,32
4,10.007,1.42857142857143,16,NaN,22.2922077922078,0.696,0.0726074311864426,0.696,0.0726074311864426,1,2,1,0,1,0,0,3,33
4,15.786,1.42857142857143,20,NaN,22.030888030888,0.86,0.0589162996182173,0.86,0.0589162996182173,1,2,1,0,1,0,0,3,34
4,4.628,1.42857142857143,3,NaN,21.2089552238806,0.976,0.073706205521212,0.976,0.073706205521212,1,2,1,0,1,0,0,3,35
4,10.39,1.42857142857143,6,NaN,22.5842696629213,0.893,0.0735748589225008,0.893,0.0735748589225008,1,2,1,1,1,0,0,3,36
4,2.219,0,2,NaN,22.7391304347826,1.289,0.133254048873288,1.289,0.133254048873288,1,2,1,1,1,0,0,3,38
4,8.224,1.42857142857143,12,NaN,21.8449612403101,0.934,0.107624874911754,0.934,0.107624874911754,1,2,1,1,1,0,0,3,39
4,13.592,0,16,NaN,21.1371681415929,1.065,0.136761461526102,1.065,0.136761461526102,1,2,1,1,1,0,0,3,40
4,2.777,0,2,NaN,20.75,1.439,0.108533088846892,1.439,0.108533088846892,1,2,1,0,1,0,0,3,42
