subject,trialtype,block,ignore,trial,pressed,FT,medianfixdist,meanfixdist,maxfixdist,eccentricity,naignore,contrast
201,1,2,1,23,1,4.82085189999998,0,0.125786922589077,0.706255918705594,6,270,1
201,1,2,1,24,1,4.64106009999887,0,0.0489332133093756,0.403050660017765,6,270,1
201,1,2,1,25,1,5.00721999999951,0,0.0529593316333313,0.518654709717606,6,270,1
201,1,2,1,26,1,5.11185029999979,0,0.125831301161714,0.611861470830315,6,270,1
201,1,2,1,27,1,4.05056830000103,0,0.0739364224535217,0.537348394826837,6,270,1
201,3,2,1,28,1,7.15942159999759,0,0.154162506916498,0.654437899937058,6,270,1
201,1,2,1,29,1,7.74940269999934,0,0.169105551856119,0.5463169946844,6,270,1
201,1,2,1,30,1,4.82356809999692,0,0.071183770972056,0.372626831351835,6,270,1
201,1,2,1,31,1,3.59519130000263,0,0.0760164825096186,0.551993604470178,6,270,1
201,1,2,1,32,1,3.5253675999993,0,0.0543191135245151,0.617738427156906,6,270,1
201,1,2,1,33,1,4.51121720000083,0,0.0991083186571667,0.552144538274805,6,270,1
201,3,2,1,34,1,3.62726839999959,0,0.0885116310245326,0.581124403465497,6,270,1
201,1,2,1,35,1,3.1765235999992,0,0.0863043439788406,0.640049722408613,6,270,1
201,2,2,1,36,1,4.36041249999835,0,0.122493217589945,0.635719347052627,6,270,1
201,1,2,1,37,1,3.86501590000262,0,0.149972827689283,0.857837533434833,6,270,1
201,2,2,1,38,1,3.49023070000112,0,0.0959548903261355,0.636902166073464,6,270,1
201,1,2,1,39,1,4.32729969999855,0,0.115696888884265,0.678952417232875,6,270,1
201,1,2,1,40,1,3.72361150000143,0,0.119883363865443,0.671130325721987,6,270,1
201,1,2,1,41,1,2.72469629999978,0,0.110778217052421,0.848396575182251,6,270,1
201,1,2,1,42,1,3.6789463999994,0,0.114512222312388,0.68231878519278,6,270,1
201,1,2,1,43,1,4.2921709000002,0,0.12435230568845,0.659338388113966,6,270,1
201,1,2,1,44,1,4.36070710000058,0,0.0756546732696777,0.548943686641567,6,270,1
201,1,2,1,45,1,2.93987470000138,0,0.0874976993995894,0.668434537346775,6,270,1
201,1,2,1,46,1,2.62331600000107,0,0.0885449993305759,0.675659563172334,6,270,1
