subject,RT,retinalslip,contrast,eccentricity
3,9.127,1.39282956158737,1,2
3,5.459,1.29071140985827,1,2
3,6.139,1.34659382592772,1,2
3,7.424,1.39244069680779,1,2
3,8.041,1.43063562604975,1,2
3,6.643,1.39630163679375,1,2
3,10.49,1.49044322023763,1,2
3,5.039,1.59071587319152,1,2
3,6.093,1.40104827125311,1,2
3,7.34,1.48903681002745,1,2
3,8.794,1.41678468299544,1,2
3,8.893,1.44548636681316,1,2
3,8.739,1.37317185023333,1,2
3,12.922,1.11401876955735,1,2
3,6.255,1.45225230385089,1,2
3,7.687,1.34390107596667,1,2
3,13.82,1.29510889346459,1,2
3,8.189,1.4403299984845,1,2
3,7.992,1.31448464808644,1,2
3,9.609,1.36969488922378,1,2
3,7.207,1.38651170322133,1,2
3,9.677,1.32412623033696,1,2
3,5.676,1.15631901563376,1,2
3,8.209,1.22901939736736,1,2
3,6.172,1.30012915502397,1,2
3,7.842,1.3298800852833,1,2
3,12.588,1.19843921123257,1,2
4,19.455,1.45564346974822,1,2
4,7.391,1.46832574586412,1,2
4,19.871,1.52469141749039,1,2
4,18.022,1.45247290071924,1,2
4,5.975,1.45897620191977,1,2
4,14.902,1.53314626823433,1,2
4,5.254,1.40356273948538,1,2
4,8.107,1.49759867249644,1,2
4,10.574,1.41685115993704,1,2
4,7.322,1.45197970109251,1,2
4,7.289,1.36268761072637,1,2
4,14.657,1.44754090445194,1,2
4,5.373,1.55696352751954,1,2
4,4.509,1.45846175332953,1,2
4,8.657,1.48588582048615,1,2
4,5.744,1.42275553337984,1,2
4,7.692,1.4022398716819,1,2
4,7.074,1.4634186168049,1,2
4,10.007,1.53408569609476,1,2
4,15.786,1.47220088578843,1,2
4,4.628,1.43145320234194,1,2
4,10.39,1.4601675565498,1,2
4,8.224,1.46986536374651,1,2
4,13.592,1.43626777012669,1,2
4,8.672,1.37895965965326,1,2
4,6.807,1.48763098839612,1,2
4,7.809,1.43901559661847,1,2
4,8.295,1.46140814070999,1,2
