subject,RT,minnms,baselinenms,minretinalslip,baselineretinalslip,immobduration,immobmsamplitude,lastmstime,lastmsamplitude,contrast,eccentricity,mspresent,earlymspresent,latemspresent,blinkpresent,nblinks,session,trial
19,16.489,0,16,11.6153846153846,11.6479400749064,0.94,1.26740449020175,0.94,1.26740449020175,1,2,1,0,1,1,0,1,43
20,6.815,2.85714285714286,9,15.0909090909091,15.6893203883495,NaN,NaN,0.096,0.293186175767706,1,2,1,1,1,0,0,1,10
20,4.19,1.42857142857143,5,15.9230769230769,16.9814814814815,0.836,0.0820846731265853,0.836,0.0820846731265853,1,2,1,0,1,0,0,1,21
20,8.952,1.42857142857143,17,16.3846153846154,15.8951612903226,0.765,0.590239918515894,0.765,0.590239918515894,1,2,1,0,1,0,0,1,26
20,6.657,1.42857142857143,9,17.2307692307692,16.2340425531915,0.414,0.297160077759635,0.414,0.297160077759635,1,2,1,1,1,1,1,1,35
20,8.24,1.42857142857143,10,14.5714285714286,16.9105691056911,NaN,NaN,0.134,0.296195704530021,1,2,1,0,1,0,0,1,37
21,9.925,1.42857142857143,15,16.8461538461538,15.794701986755,0.4,0.2096211251377,0.4,0.2096211251377,1,2,1,0,1,0,0,1,4
21,5.766,1.42857142857143,8,16.75,16.8641975308642,NaN,NaN,0.219,0.21009714794946,1,2,1,1,1,0,0,1,18
21,6.559,2.85714285714286,8,15.7272727272727,16.2916666666667,0.537,0.200219980128602,0.537,0.200219980128602,1,2,1,1,1,0,0,1,20
21,8.159,1.42857142857143,19,13.1666666666667,15.4554455445545,NaN,NaN,0.221,0.157347728999359,1,2,1,0,1,0,0,1,35
21,7.176,0,10,15.1333333333333,15.343137254902,1.201,0.0764342179817143,1.201,0.0764342179817143,1,2,1,0,1,0,0,1,47
1,3.625,0,2,13.2666666666667,13.8,2.681,0.229975528922049,2.681,0.229975528922049,1,4,1,0,1,0,0,1,14
1,4.149,0,1,14.7333333333333,14.983606557377,2.046,0.077437047275433,2.046,0.077437047275433,1,4,1,0,1,0,0,1,26
1,6.704,0,1,16.4666666666667,17.5929203539823,2.795,0.0576817649549823,2.795,0.0576817649549823,1,4,1,0,1,0,0,1,31
1,6.502,0,3,12.9333333333333,14.2641509433962,1.623,0.0923436401647831,1.623,0.0923436401647831,1,4,1,1,1,0,0,1,40
1,5.424,0,1,15.4666666666667,16.7586206896552,3.776,0.098345969307508,3.776,0.098345969307508,1,4,1,0,1,0,0,1,43
2,4.59,0,0,34.4666666666667,34.0416666666667,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,15
2,3.496,0,0,15.5333333333333,16.0816326530612,NaN,NaN,NaN,NaN,1,4,0,0,0,1,0,3,25
2,3.838,0,0,16.2,16.5263157894737,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,29
2,2.623,0,1,13.4,13.8125,2.449,0.185369859410234,2.449,0.185369859410234,1,4,1,1,0,0,0,3,45
2,2.259,0,0,13.6,14.2692307692308,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,47
3,4.689,0,2,18.4,18.9275362318841,3.338,0.69812470541865,3.338,0.69812470541865,1,4,1,0,1,0,0,1,9
3,4.156,0,0,16.4666666666667,18.796875,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,1,20
3,3.825,0,0,17.5333333333333,17.7368421052632,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,1,39
4,12.321,1.42857142857143,12,17.0769230769231,16.8620689655172,0.513,0.0613066912378782,0.513,0.0613066912378782,1,4,1,1,1,0,0,3,4
4,8.306,1.42857142857143,8,18.2307692307692,18.3257575757576,0.588,0.0800122345957032,0.588,0.0800122345957032,1,4,1,0,1,0,0,3,23
4,5.517,2.85714285714286,7,16.7692307692308,16.9135802469136,0.491,0.0534460064042568,0.491,0.0534460064042568,1,4,1,1,1,0,0,3,35
4,8.868,1.42857142857143,8,17.7692307692308,16.8214285714286,0.48,0.0783645231545711,0.48,0.0783645231545711,1,4,1,0,1,0,0,3,37
5,4.789,0,0,12.3333333333333,12.1666666666667,NaN,NaN,NaN,NaN,1,4,0,0,0,1,1,2,13
5,5.084,0,1,11.2666666666667,11.506329113924,3.686,0.0825872535413624,3.686,0.0825872535413624,1,4,1,0,1,0,0,2,18
5,6.002,0,1,11.4666666666667,12.4444444444444,5.619,0.209636401085189,5.619,0.209636401085189,1,4,1,1,0,1,1,2,19
5,13.118,0,4,12.8666666666667,12.6509433962264,1.3,0.585712193793961,1.3,0.585712193793961,1,4,1,0,1,1,2,2,27
6,3.102,1.42857142857143,4,17.4444444444444,18.3103448275862,0.493,0.312760976737998,0.493,0.312760976737998,1,4,1,1,1,1,1,3,11
6,7.701,1.42857142857143,6,16.5384615384615,19.4415584415584,0.638,0.282334281693196,0.638,0.282334281693196,1,4,1,0,1,1,4,3,13
6,3.733,0,1,17.7333333333333,15.9636363636364,3.261,0.0770211192686823,3.261,0.0770211192686823,1,4,1,1,0,0,0,3,18
6,2.273,0,1,16.4666666666667,15.72,1.933,0.0519581143721802,1.933,0.0519581143721802,1,4,1,1,0,0,0,3,30
6,4.274,0,2,16.8571428571429,15.030303030303,NaN,NaN,0.23,0.102826806562068,1,4,1,1,0,0,0,3,39
7,2.833,0,0,17.6666666666667,16.7837837837838,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,15
7,2.741,0,0,18.5333333333333,17.7142857142857,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,28
7,3.123,0,0,18.4666666666667,18.093023255814,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,41
