subject,RT,minnms,baselinenms,minretinalslip,baselineretinalslip,immobduration,immobmsamplitude,lastmstime,lastmsamplitude,contrast,eccentricity,mspresent,earlymspresent,latemspresent,blinkpresent,nblinks,session,trial
14,13.842,2.85714285714286,18,21.8,19.1447368421053,0.559,0.183979388093658,0.559,0.183979388093658,1,2,1,0,1,1,8,1,18
14,9.158,1.42857142857143,6,20.5384615384615,20.3953488372093,NaN,NaN,0.283,0.0906033934110648,1,2,1,0,1,1,8,1,37
15,5.359,0,0,18.8,18.0689655172414,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,28
15,14.023,0,6,16.2666666666667,16.4560669456067,2.078,0.536910850906783,2.078,0.536910850906783,1,2,1,1,1,1,1,3,31
15,5.557,0,1,16.6666666666667,15.1573033707865,2.746,0.0648499724382717,2.746,0.0648499724382717,1,2,1,0,1,0,0,3,36
15,3.941,0,0,14.6,15.2372881355932,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,38
15,5.359,1.42857142857143,2,14.1538461538462,14.5595238095238,0.93,0.0930683316609903,0.93,0.0930683316609903,1,2,1,0,1,0,0,3,40
16,4.588,1.42857142857143,3,25.25,24.4242424242424,0.454,0.148026142049807,0.454,0.148026142049807,1,2,1,0,1,0,0,1,2
16,2.161,1.42857142857143,1,25.2142857142857,24.2272727272727,0.966,0.0823940802120863,0.966,0.0823940802120863,1,2,1,0,1,0,0,1,18
16,2.956,0,1,28.6,26.8157894736842,1.201,0.134447349948913,1.201,0.134447349948913,1,2,1,0,1,0,0,1,30
17,2.841,0,0,14.5333333333333,14.4324324324324,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,1
17,5.273,0,2,12.6666666666667,13.5365853658537,2.631,0.271061930859009,2.631,0.271061930859009,1,2,1,0,1,0,0,3,13
17,3.809,0,0,12.8,13.8245614035088,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,19
17,6.174,0,0,13.6666666666667,13.375,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,26
17,4.173,0,0,14,13.171875,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,32
18,5.989,0,3,29.8,31.5979381443299,4.262,0.338304325183867,4.262,0.338304325183867,1,2,1,1,1,0,0,1,11
18,5.738,0,5,11,11.5764705882353,2.094,0.113496975021284,2.094,0.113496975021284,1,2,1,0,1,0,0,1,18
18,5.312,0,2,13.5333333333333,11.5180722891566,2.723,0.132556906904448,2.723,0.132556906904448,1,2,1,0,1,0,0,1,22
18,5.575,2.85714285714286,9,11.1818181818182,10.6233766233766,0.526,0.287713960853292,0.526,0.287713960853292,1,2,1,1,1,0,0,1,24
18,5.023,0,3,12,11.9452054794521,3.291,0.0825648414129081,3.291,0.0825648414129081,1,2,1,0,1,1,0,1,29
19,9.756,0,0,10.6666666666667,10.2897727272727,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,1,1
19,14.509,0,3,9.6,10.0912547528517,12.137,0.381532134370144,12.137,0.381532134370144,1,2,1,0,1,0,0,1,5
19,13.087,0,10,10.9333333333333,10.1590909090909,2.634,0.658435106045216,2.634,0.658435106045216,1,2,1,1,1,0,0,1,20
19,16.539,0,3,11.2,11.006600660066,11.032,0.45672174620255,11.032,0.45672174620255,1,2,1,0,1,0,0,1,26
